# 2024/11/18 絵本 chatgptで作成 1
# start,end,text
0,7,もりのぼうけんしゃ\nたけるとふしぎなたね。

# ページ1: 出発
8,12,もりがだいすきなたけるは、ふしぎなたねをみつけました。
13,16,「うえたらすごい植物（しょくぶつ）がそだつかも！」
17,23,わくわくしながらいえにかえろうとしますが、\nいそいで走（はし）ってみちにまよってしまいます。

# 2ページ目: 森の教え
26,30,たけるがこまっていると、\nもりのおおきな木（き）がはなしかけてきました。
31,40,「たけるよ、いそぐばかりではみちをみうしなうぞ。\nゆっくりすすむことで、しぜんがみちをおしえてくれるんだ。」

# 3ページ目: ゆっくり歩く冒険
43,47,たけるは木（き）のことばをしんじ、\nゆっくりあるきはじめました。
48,52,すると、もりのなかであたらしいはっけんがつぎつぎと！
53,58,きのこのようせいや、\nこがわでみずをのむしかの親子（おやこ）にもであいました。

# 4ページ目: 家と成長
61,65,たけるはあんぜんにいえへとうちゃくし、\nたねをうえました。
66,68,やがてめがでておおきな木（き）に。
69,74,「もりのちえのおかげで、\nぼくもたねもゆっくりとせいちょうできたんだね。」
75,78,たけるはえがおでそらをみあげました。

# おわり
79,81,おしまい。

