# Action,Speaker,Speed,Emotion,Text
silent,1,,,
speak,m1,100,happy=0,シマリス兄弟とふしぎなショッピングモール。
silent,3,,,
start-page,,,,
speak,m1,100,happy=0,シマリスの兄弟リッキーとトビーは、ショッピングモールで新しいおもちゃを探していました。
silent,1,,,
speak,m1,100,happy=0,モールには大きな滑り台の形をしたキッズゾーンがあり、リッキーはそこで何か楽しいことが起きる予感がすると言いました。
silent,1,,,
end-page,,,,
silent,3,,,
start-page,,,,
speak,m2,100,happy=80_fun=50,ふしぎな箱を見つけたよ！
silent,1,,,
speak,m1,100,happy=0,その箱には開けると宝物が見つかると書かれています。
silent,1,,,
speak,m1,100,happy=0,ふたりが箱を開けると、中からおもちゃと、大好きなドングリクッキーが飛び出しました。
silent,1,,,
speak,m1,100,happy=80_fun=50,これで一石二鳥だね！
silent,1,,,
end-page,,,,
silent,3,,,
start-page,,,,
speak,m1,100,happy=0,突然、キッズゾーンの滑り台が壊れてしまい、他の子リスたちが遊べなくなってしまいました。
silent,1,,,
speak,m1,100,happy=0,なんとかしなくちゃ！とリッキーとトビーは急いで滑り台を直す方法を探します。
silent,1,,,
end-page,,,,
silent,3,,,
start-page,,,,
speak,m1,100,happy=0,ふたりはモール内のペットショップで直すのに使ってと工具を借りてきました。
silent,1,,,
speak,m1,100,happy=0,他の子リスたちも協力して、滑り台を直しました。
silent,1,,,
speak,m1,100,happy=0,リッキーとトビーは、みんなと一緒に楽しい時間を過ごしました。
silent,1,,,
speak,m1,100,happy=80_fun=50,やっぱり、一石二鳥だね！
silent,1,,,
end-page,,,,
silent,3,,,
